# External B 3D format
# NodeId  Bx(T)  By(T)  Bz(T)
1   -2.097315788269043 -0.8615391254425049  0.32111769914627080
2   -2.060964345932007 -0.9514395594596863  0.32016107439994810
3   -2.109603166580200 -0.8287244439125061  0.32694131135940550
4   -2.180899143218994 -0.6204974651336670  0.32056489586830140
5   -2.141749382019043 -0.8083917498588562  0.33365988731384280
6   -2.279344797134399 -0.6750744581222534  0.36515107750892640
7   -2.329360485076904 -0.8477968573570251  0.37611362338066100
8   -2.203813076019287 -1.0339540243148800  0.38065534830093380
9   -2.182050228118896 -0.6122905015945435  0.32841616868972780
10  -2.246980428695679 -1.1895362138748170  0.37402519583702090
11  -2.335121870040894 -0.5521977543830872  0.36362600326538090
12  -2.249888181686401 -0.5010931491851807  0.34030669927597050
13  -2.130767583847046 -0.8952575325965881  0.34509477019310000
14  -2.122344255447388 -0.7946975231170654  0.32895410060882570
15  -2.492313861846924 -1.0321822166442870  0.32497274875640870
16  -2.239461421966553 -0.3555112481117249  0.32019412517547610
17  -2.412824630737305 -0.6634091734886169  0.38920029997825620
18  -2.449815511703491 -0.4907539486885071  0.38404616713523860
19  -2.667853355407715 -0.7491601705551147  0.28101938962936400
20  -2.267807483673096 -0.4796347022056580  0.34769570827484130
21  -2.241879463195801 -0.3320207595825195  0.32838752865791320
22  -2.693623304367065 -1.0673609972000120  0.17296543717384340
23  -2.697252750396729 -0.6755736470222473  0.26595324277877810
24  -2.495416879653931 -1.3463551998138430  0.23301455378532410
25  -2.368812799453735 -0.8858999013900757  0.38882902264595030
26  -2.198438405990601 -0.5505232214927673  0.32847106456756590
27  -2.671449184417725 -0.8232316374778748  0.26320078969001770
28  -2.633439064025879 -0.4903196990489960  0.34014186263084410
29  -2.490069150924683 -1.4501805305480960  0.18300946056842800
30  -2.397224426269531 -1.1522322893142700  0.35095691680908200
31  -2.154555797576904 -0.8697630763053894  0.34860825538635250
32  -2.471639156341553 -0.5948057174682617  0.38728994131088260
33  -2.571017026901245 -0.2814641594886780  0.36563640832901000
34  -2.327004909515381 -0.1470609456300735  0.34522107243537900
35  -2.135085344314575 -0.7606706023216248  0.32694131135940550
36  -2.834937810897827 -0.3979399502277374  0.20438785851001740
37  -2.263312101364136 -0.1216877326369286  0.32666510343551640
38  -2.554579019546509 -0.2161000967025757  0.38161170482635500
39  -2.850462436676025 -1.1926821470260620  0.02176045253872871
40  -2.461264371871948 -0.2210177779197693  0.38867431879043580
41  -2.694750308990479 -1.1746795177459720  0.13790643215179440
42  -2.266250133514404 -0.0759630650281906  0.32006311416625980
43  -3.024064779281616 -0.6345520019531250  0.02180915698409081
44  -2.352949142456055 -0.7140483856201172  0.38459613919258120
45  -3.012692689895630 -0.6865373849868774  0.02120113931596279
46  -2.985069036483765 -0.7981445789337158  0.02069478482007980
47  -2.663969278335571 -1.5030518770217900  0.00905729178339243
48  -2.888371467590332 -1.0977057218551640  0.02125808969140053
49  -2.738676309585571 -0.8665205836296082  0.19609716534614560
50  -2.319776535034180 -0.3982312381267548  0.35989016294479370
51  -2.248508214950562 -0.2848103642463684  0.32740542292594910
52  -2.860482215881348 -0.5534004569053650  0.16151674091815950
53  -2.562296867370605 -0.2939044535160065  0.38019037246704100
54  -2.264604568481445 -0.0863878726959228  0.32894280552864070
55  -2.313345432281494 -1.0007511377334590  0.38503104448318480
56  -2.594142436981201 -0.0136124100536108  0.36935240030288700
57  -2.951545476913452 -0.9143307209014893  0.02189218997955322
58  -3.069094419479370 -0.3582330346107483  0.02071786485612392
59  -2.985370159149170 -0.1094479337334633  0.08413866162300110
60  -2.897734642028809 -0.0758672654628754  0.17756223678588870
61  -2.570049047470093 -1.7153778076171880  0.02066227979958057
62  -2.674333333969116 -1.5154163837432860  0.00724630663171411
63  -3.001732587814331 -0.2384798973798752  0.06202581897377968
64  -2.598292350769043 -0.5343440771102905  0.35069802403450010
65  -2.794810771942139 -1.3178216218948360  0.02189556881785393
66  -3.075075626373291 -0.3025618493556976  0.02159547992050648
67  -2.571965217590332 -1.7124922275543210  0.02156672812998295
68  -2.822238445281982 -1.2580351829528810  0.02043440192937851
69  -3.030601978302002 -0.6025825142860413  0.02111451886594296
70  -2.712831020355225 -0.0416908413171768  0.31953191757202150
71  -2.263446569442749  0.1167384758591652  0.32753938436508180
72  -2.987459897994995 -0.7891179323196411  0.02182045392692089
73  -2.552566051483154 -0.9230928421020508  0.31319215893745420
74  -2.851010799407959 -1.1841059923172000  0.01759617589414120
